cityName,cloudiness,country,humidity,lat,lng,temp,winds
hirara,75,jp,94,24.8,125.28,81.52,5.82
chapais,20,ca,28,49.78,-74.86,62.6,14.99
gorontalo,92,id,100,0.54,123.06,73.92,2.13
havoysund,75,no,81,71.0,24.66,44.6,10.29
srednekolymsk,0,ru,47,67.46,153.71,65.82,3.13
vikyrovice,88,cz,87,49.98,17.01,49.71,5.26
turukhansk,44,ru,87,65.8,87.96,64.74,4.47
darnah,0,ly,98,32.77,22.64,76.62,13.65
sabang,24,id,95,13.72,123.58,82.38,4.03
sompeta,76,in,89,18.93,84.6,77.7,4.36
shimoda,20,jp,93,34.7,138.93,73.11,4.92
kedrovyy,0,ru,93,56.17,91.82,55.4,5.93
itarema,8,br,72,-2.92,-39.92,79.59,14.32
kormilovka,40,ru,87,55.0,74.1,55.4,4.47
hamilton,20,bm,78,32.3,-64.78,80.6,13.87
moroni,0,km,18,39.52,-111.59,75.18,3.91
tekeli,92,kz,90,44.86,78.76,56.28,5.14
andros town,90,bs,83,24.73,-77.79,77.0,14.99
pelym,8,ru,71,61.01,62.0,59.52,3.36
damietta,20,eg,78,31.42,31.81,77.0,6.93
bordighera,0,it,72,43.79,7.66,64.94,5.82
tual,56,id,100,-5.67,132.75,79.32,14.65
cockenzie,0,gb,62,55.97,-2.97,54.32,4.7
santa fe,0,cu,72,-31.62,-60.7,38.01,5.37
port lincoln,56,au,100,-34.72,135.86,53.94,6.6
esna,64,eg,78,45.2,27.57,60.06,6.38
waupun,1,us,50,43.63,-88.73,79.18,8.05
khartoum,0,sd,30,15.59,32.54,95.0,12.75
dombarovskiy,0,ru,72,50.76,59.54,59.61,2.8
miranda,40,br,51,3.25,-76.23,84.2,13.87
verkhnyaya inta,48,ru,87,65.99,60.32,56.82,2.13
batagay-alyta,68,ru,46,67.8,130.41,73.65,4.03
syasstroy,0,ru,88,60.14,32.56,53.49,8.39
akropong,75,gh,88,5.97,-0.09,77.0,5.82
along,92,in,98,28.17,94.8,67.8,1.57
yar-sale,80,ru,79,66.83,70.83,49.8,11.52
karaton,40,kz,94,-6.34,106.1,77.0,6.93
petropavlovsk-kamchatskiy,90,ru,93,53.05,158.65,44.6,2.24
dawlatabad,0,af,48,36.41,64.91,63.03,3.91
faanui,8,pf,99,-16.48,-151.75,81.39,19.8
riyadh,0,sa,12,24.63,46.72,82.4,6.93
winston,0,us,71,52.21,1.19,60.84,5.82
arica,90,cl,68,-18.48,-70.32,62.46,8.05
springfield,1,us,73,37.22,-93.29,73.4,4.7
tommot,88,ru,74,58.97,126.27,66.99,2.13
shenjiamen,12,cn,97,29.96,122.3,78.06,12.86
ejido,24,ve,94,8.55,-71.24,62.31,0.67
chuy,88,uy,95,-33.69,-53.46,41.43,4.36
coquimbo,20,cl,81,-29.95,-71.34,53.6,5.82
liuhe,92,cn,68,42.28,125.73,72.39,5.14
lodwar,48,ke,97,3.12,35.6,68.79,2.68
sept-iles,40,ca,71,50.2,-66.38,55.4,5.82
kodinsk,0,ru,73,58.6,99.18,70.86,3.47
cusuna,68,hn,76,15.85,-85.23,79.14,2.35
kazerun,0,ir,52,29.62,51.65,65.82,1.79
dawei,92,mm,100,14.07,98.19,71.31,2.24
linares,76,mx,88,-35.85,-71.6,36.66,2.35
quchan,0,ir,78,37.11,58.51,50.07,1.34
lompoc,20,us,68,34.64,-120.46,71.58,9.17
buluang,90,ph,88,10.47,123.98,78.8,1.12
jadu,0,ly,72,31.95,12.03,65.82,3.02
kangasala,0,fi,63,61.46,24.07,59.81,5.82
vila,0,vu,56,45.18,8.4,67.95,5.82
seligenstadt,75,de,59,50.04,8.98,61.68,5.82
mokhsogollokh,64,ru,78,61.4,128.95,66.99,4.03
la union,44,mx,81,14.97,-89.29,75.99,2.13
mountain home,20,us,21,43.13,-115.69,84.2,3.36
turayf,0,sa,38,31.68,38.65,77.0,4.7
waingapu,0,id,76,-9.65,120.26,75.18,10.96
bubaque,20,gw,78,11.28,-15.83,82.4,4.7
dudinka,12,ru,67,69.41,86.18,68.88,12.08
cataingan,32,ph,100,12.0,123.99,81.3,4.92
lianzhou,100,cn,99,24.79,112.38,74.19,2.8
lanzhou,75,cn,93,36.06,103.82,62.6,2.24
westerland,90,de,87,52.89,4.93,57.2,6.93
brooks,8,ca,53,50.57,-111.89,79.95,4.47
karratha,0,au,38,-20.74,116.85,56.28,18.12
bucerias,75,mx,74,20.76,-105.33,86.0,17.22
luba,0,gq,90,17.32,120.7,77.88,3.69
alugan,64,ph,99,12.22,125.48,82.56,4.7
nyrad,20,dk,82,55.01,11.96,55.4,4.7
